5,0,1.000179,1.0001790523529053,6396376,51161847.35085285,290,217200,57695,5463,1500,false
5,1.000179,2.000067,0.999888002872467,5242880,41947738.02616543,5,250504,59155,4886,1500,false
5,2.000067,3.000177,1.0001100301742554,3932160,31453819.130800042,0,266432,58909,4342,1500,false
5,3.000177,4.00024,1.0000629425048828,3932160,31455300.124618314,18,141904,60650,5376,1500,false
5,4.00024,5.000183,0.9999430179595947,1310720,10486357.53404871,33,76744,63459,4640,1500,false
5,5.000183,6.000174,0.9999909996986389,1310720,10485854.37584941,0,89776,64146,7249,1500,false
5,6.000174,7.000173,0.9999989867210388,1310720,10485770.625010766,0,102808,60957,7756,1500,false
5,7.000173,8.000168,0.9999949932098389,2621440,20971625.000525717,0,117288,58744,3172,1500,false
5,8.000168,9.00003,0.999862015247345,2621440,20974414.149348482,0,131768,60730,5156,1500,false
5,9.00003,10.000124,1.0000940561294556,2621440,20969547.685508266,0,146248,61888,8254,1500,false
