5 0 1 6,10006 48,7917 290 212,109 57695 5463 1500 false
5 1 2 5 40,0045 5 244,633 59155 4886 1500 false
5 2 3 3,75 29,9967 0 260,188 58909 4342 1500 false
5 3 4 3,75 29,9981 18 138,578 60650 5376 1500 false
5 4 5 1,25 10,0006 33 74,9453 63459 4640 1500 false
5 5 6 1,25 10,0001 0 87,6719 64146 7249 1500 false
5 6 7 1,25 10 0 100,398 60957 7756 1500 false
5 7 8 2,5 20,0001 0 114,539 58744 3172 1500 false
5 8 9 2,5 20,0028 0 128,68 60730 5156 1500 false
5 9 10 2,5 19,9981 0 142,82 61888 8254 1500 false
